pyr,videotime
0,545.3
-0.005543848,545.3333333
-0.01702286,545.3666667
-0.02548954,545.4
-0.01337554,545.4333333
-0.000594233,545.4666667
-0.001925956,545.5
-0.000424452,545.5333333
-0.001511707,545.5666667
-0.004094192,545.6
0.008245498,545.6333333
0.02695459,545.6666667
0.04028825,545.7
0.03679793,545.7333333
0.01232367,545.7666667
-0.00616509,545.8
-0.02499486,545.8333333
-0.02970354,545.8666667
-0.01621737,545.9
-0.001748663,545.9333333
0.003675253,545.9666667
-0.002697587,546
0.005907716,546.0333333
0.02114256,546.0666667
0.01987426,546.1
0.01088543,546.1333333
0.008001931,546.1666667
8.88E-05,546.2
-0.01192964,546.2333333
-0.02095093,546.2666667
-0.02857987,546.3
-0.02894825,546.3333333
-0.02272931,546.3666667
-0.01067978,546.4
0.009889389,546.4333333
0.03470695,546.4666667
0.05268168,546.5
0.05896591,546.5333333
0.05124119,546.5666667
0.01817576,546.6
-0.02772333,546.6333333
-0.05472679,546.6666667
-0.06304568,546.7
-0.06282019,546.7333333
-0.0397601,546.7666667
-0.009742998,546.8
0.01576661,546.8333333
0.04216269,546.8666667
0.05857458,546.9
0.06223151,546.9333333
0.04792165,546.9666667
0.02605103,547
-0.003801932,547.0333333
-0.03695832,547.0666667
-0.06291599,547.1
-0.07207381,547.1333333
-0.05934954,547.1666667
-0.02723422,547.2
0.008282987,547.2333333
0.03986192,547.2666667
0.06002733,547.3
0.04574657,547.3333333
0.02500744,547.3666667
0.00479707,547.4
-0.0229236,547.4333333
-0.04052294,547.4666667
-0.04525306,547.5
-0.0299184,547.5333333
0.000795738,547.5666667
0.02608496,547.6
0.03947515,547.6333333
0.03690409,547.6666667
0.02500909,547.7
0.009117671,547.7333333
-0.01234422,547.7666667
-0.03310279,547.8
-0.03135426,547.8333333
-0.02285987,547.8666667
-0.021781,547.9
-0.006175983,547.9333333
0.01379563,547.9666667
0.03203157,548
0.04111402,548.0333333
0.03050928,548.0666667
0.001289341,548.1
-0.02117191,548.1333333
-0.03392555,548.1666667
-0.03704853,548.2
-0.01936023,548.2333333
-0.004205369,548.2666667
0.01224504,548.3
0.02997294,548.3333333
0.0360443,548.3666667
0.02553759,548.4
0.01088286,548.4333333
0.004166653,548.4666667
-0.006641044,548.5
-0.016171,548.5333333
-0.01891573,548.5666667
-0.009687494,548.6
0.004975662,548.6333333
0.01552622,548.6666667
0.0171002,548.7
0.01524771,548.7333333
0.007418806,548.7666667
-0.02134852,548.8
-0.04545737,548.8333333
-0.04695499,548.8666667
-0.03453441,548.9
-0.01541828,548.9333333
0.01053101,548.9666667
0.03496498,549
0.04347981,549.0333333
0.04001502,549.0666667
0.03126159,549.1
0.005737227,549.1333333
-0.02183203,549.1666667
-0.03545526,549.2
-0.04064903,549.2333333
-0.02763548,549.2666667
-0.008380171,549.3
0.008663075,549.3333333
0.0236227,549.3666667
0.03354393,549.4
0.03853955,549.4333333
0.02840924,549.4666667
0.01344356,549.5
-0.000504403,549.5333333
-0.0177473,549.5666667
-0.03309924,549.6
-0.03803357,549.6333333
-0.03212287,549.6666667
-0.02627057,549.7
-0.01471881,549.7333333
0.01118541,549.7666667
0.03571072,549.8
0.0537797,549.8333333
0.05836882,549.8666667
0.04032052,549.9
0.01342673,549.9333333
-0.02174228,549.9666667
-0.0586692,550
-0.0760553,550.0333333
-0.06958431,550.0666667
-0.05425706,550.1
-0.02417775,550.1333333
0.01660493,550.1666667
0.04038288,550.2
0.05122968,550.2333333
0.05296165,550.2666667
0.04326791,550.3
0.03389616,550.3333333
0.01656717,550.3666667
-0.006355233,550.4
-0.02950593,550.4333333
-0.04607819,550.4666667
-0.03351011,550.5
-0.005971115,550.5333333
0.02015354,550.5666667
0.03944059,550.6
