Time(s), Shift_Y(pixels)
0.0000, 0.000000
0.0333, 0.040674
0.0667, 0.074314
0.1000, 0.095106
0.1333, 0.099452
0.1667, 0.086603
0.2000, 0.058779
0.2333, 0.020791
0.2667, -0.020791
0.3000, -0.058779
0.3333, -0.086603
0.3667, -0.099452
0.4000, -0.095106
0.4333, -0.074314
0.4667, -0.040674
0.5000, -0.000000
0.5333, 0.040674
0.5667, 0.074314
0.6000, 0.095106
0.6333, 0.099452
0.6667, 0.086603
0.7000, 0.058779
0.7333, 0.020791
0.7667, -0.020791
0.8000, -0.058779
0.8333, -0.086603
0.8667, -0.099452
0.9000, -0.095106
0.9333, -0.074314
0.9667, -0.040674
1.0000, -0.000000
1.0333, 0.040674
1.0667, 0.074314
1.1000, 0.095106
1.1333, 0.099452
1.1667, 0.086603
1.2000, 0.058779
1.2333, 0.020791
1.2667, -0.020791
1.3000, -0.058779
1.3333, -0.086603
1.3667, -0.099452
1.4000, -0.095106
1.4333, -0.074314
1.4667, -0.040674
1.5000, -0.000000
1.5333, 0.040674
1.5667, 0.074314
1.6000, 0.095106
1.6333, 0.099452
1.6667, 0.086603
1.7000, 0.058779
1.7333, 0.020791
1.7667, -0.020791
1.8000, -0.058779
1.8333, -0.086603
1.8667, -0.099452
1.9000, -0.095106
1.9333, -0.074314
1.9667, -0.040674
2.0000, -0.000000
2.0333, 0.040674
2.0667, 0.074314
2.1000, 0.095106
2.1333, 0.099452
2.1667, 0.086603
2.2000, 0.058779
2.2333, 0.020791
2.2667, -0.020791
2.3000, -0.058779
2.3333, -0.086603
2.3667, -0.099452
2.4000, -0.095106
2.4333, -0.074314
2.4667, -0.040674
2.5000, -0.000000
2.5333, 0.040674
2.5667, 0.074314
2.6000, 0.095106
2.6333, 0.099452
2.6667, 0.086603
2.7000, 0.058779
2.7333, 0.020791
2.7667, -0.020791
2.8000, -0.058779
2.8333, -0.086603
2.8667, -0.099452
2.9000, -0.095106
2.9333, -0.074314
2.9667, -0.040674
3.0000, -0.000000
3.0333, 0.040674
3.0667, 0.074314
3.1000, 0.095106
3.1333, 0.099452
3.1667, 0.086603
3.2000, 0.058779
3.2333, 0.020791
3.2667, -0.020791
3.3000, -0.058779
3.3333, -0.086603
3.3667, -0.099452
3.4000, -0.095106
3.4333, -0.074314
3.4667, -0.040674
3.5000, -0.000000
3.5333, 0.040674
3.5667, 0.074314
3.6000, 0.095106
3.6333, 0.099452
3.6667, 0.086603
3.7000, 0.058779
3.7333, 0.020791
3.7667, -0.020791
3.8000, -0.058779
3.8333, -0.086603
3.8667, -0.099452
3.9000, -0.095106
3.9333, -0.074314
3.9667, -0.040674
4.0000, -0.000000
4.0333, 0.040674
4.0667, 0.074314
